PLAYER,GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
andrew-wiggins,9,TOR,17,2,1,1,0,0,0,3
andrew-wiggins,10,DET,19,2,2,1,0,0,2,3
anfernee-simons,0,DEN,37,4,4,2,2,0,2,29
anfernee-simons,1,MIL,38,3,5,3,0,0,0,24
anfernee-simons,2,PHI,28,1,6,1,0,1,3,15
anfernee-simons,3,CHI,35,7,8,1,0,0,5,11
anfernee-simons,4,SAS,41,2,10,5,1,0,3,40
anfernee-simons,5,HOU,41,6,5,3,0,0,3,33
anfernee-simons,6,OKC,33,3,5,4,0,1,3,17
anfernee-simons,7,LAL,30,2,3,4,0,0,4,19
anfernee-simons,8,BKN,39,4,4,0,0,0,2,20
anfernee-simons,9,PHO,41,5,5,3,0,0,2,28
anfernee-simons,10,MIN,29,2,3,3,0,1,0,5
anthony-black,0,SAS,17,0,1,0,0,0,2,2
anthony-black,1,DAL,30,3,1,1,0,1,3,20
anthony-black,2,PHO,13,1,1,0,0,1,1,4
anthony-black,3,MEM,27,3,1,1,0,0,5,2
anthony-black,4,CLE,18,1,2,0,1,0,0,7
anthony-black,5,MIA,14,0,1,1,0,0,3,6
anthony-black,6,PHI,13,3,3,0,0,1,2,7
anthony-black,7,ATL,0,0,0,0,0,0,0,0
anthony-black,8,OKC,33,4,1,1,1,1,2,13
anthony-black,9,MIA,9,3,1,0,1,0,0,1
anthony-black,10,MIN,21,1,4,2,3,1,2,3
anthony-davis,0,HOU,29,7,2,3,2,1,2,23
anthony-davis,1,GSW,45,13,3,2,0,4,4,29
anthony-davis,2,CHI,36,11,6,0,0,1,1,22
anthony-davis,3,LAC,36,12,2,1,0,0,2,26
anthony-davis,4,POR,26,14,3,0,0,0,0,14
anthony-davis,5,BKN,35,12,6,1,3,2,1,26
anthony-davis,6,DAL,33,12,9,1,1,1,2,28
anthony-davis,7,OKC,38,15,5,2,2,1,3,27
anthony-davis,8,UTH,39,15,11,6,1,4,1,15
anthony-davis,9,PHO,32,5,1,3,1,2,4,13
anthony-davis,10,TOR,40,11,6,3,0,1,4,41
anthony-edwards,0,ORL,35,1,5,3,1,0,1,22
anthony-edwards,1,DAL,30,5,5,2,0,0,1,9
anthony-edwards,2,OKC,40,4,4,4,1,0,4,27
anthony-edwards,3,SAS,38,6,12,4,1,0,0,32
anthony-edwards,4,BKN,36,1,3,3,1,0,3,24
anthony-edwards,5,WAS,34,3,5,4,1,0,4,38
anthony-edwards,6,CHA,37,5,11,1,0,0,1,9
anthony-edwards,7,OKC,38,5,5,5,0,0,2,19
anthony-edwards,8,MEM,34,5,5,3,1,0,2,28
anthony-edwards,9,DET,33,5,8,3,0,0,3,27
anthony-edwards,10,LAC,38,9,6,5,2,0,1,33
anthony-gill,0,MIA,0,0,0,0,0,0,0,0
anthony-gill,1,LAC,8,2,0,1,1,0,0,3
anthony-gill,2,UTH,1,0,0,0,0,0,0,0
anthony-gill,3,MIN,1,0,1,0,0,0,0,0
anthony-gill,4,DET,3,1,0,1,0,0,0,3
anthony-gill,5,NYK,3,2,0,0,0,0,0,3
anthony-gill,6,CLE,5,1,0,0,0,0,1,1
anthony-gill,7,CLE,5,1,0,0,0,0,0,2
anthony-gill,8,TOR,5,0,0,0,0,1,0,0
anthony-gill,9,GSW,11,3,0,0,0,1,0,8
anthony-gill,10,POR,0,0,0,0,0,0,0,0
armoni-brooks,0,HOU,3,1,0,0,0,0,0,0
armoni-brooks,1,NOR,8,1,0,0,0,0,1,5
armoni-brooks,2,MIL,29,4,2,2,1,0,1,12
armoni-brooks,3,DEN,15,2,2,0,0,1,0,6
armoni-brooks,4,SAC,4,0,1,0,0,0,0,2
armoni-brooks,5,CHI,4,1,0,0,0,0,1,0
armoni-brooks,6,MIA,4,3,0,0,0,0,0,0
armoni-brooks,7,BOS,19,4,0,1,0,0,0,0
armoni-brooks,8,BOS,1,0,0,0,0,0,0,0
armoni-brooks,9,MIA,16,2,0,0,0,0,0,17
ausar-thompson,0,LAC,26,7,1,1,2,1,1,3
ausar-thompson,1,CLE,18,6,2,2,2,0,0,4
ausar-thompson,2,OKC,20,4,1,0,1,1,1,9
ausar-thompson,3,WAS,17,2,0,1,1,2,0,8
ausar-thompson,4,CHA,27,2,1,2,2,0,4,7
ausar-thompson,5,MIL,19,5,1,0,0,0,2,0
ausar-thompson,6,MIL,32,9,1,1,0,1,4,22
ausar-thompson,7,MIN,22,9,1,0,0,1,0,7
ausar-thompson,8,WAS,27,8,2,0,3,0,2,14
ausar-thompson,9,HOU,18,8,0,1,0,0,2,4
ausar-thompson,10,SAS,15,6,1,1,0,1,4,3
austin-reaves,0,BOS,35,2,3,0,0,0,1,32
austin-reaves,1,ATL,32,0,6,2,2,0,1,28
austin-reaves,2,HOU,30,3,5,2,1,0,1,8
austin-reaves,3,GSW,47,2,6,5,2,0,3,17
austin-reaves,4,CHI,33,3,8,1,0,0,4,20
austin-reaves,5,LAC,34,2,5,3,2,1,3,12
austin-reaves,6,POR,26,4,2,1,1,0,1,15
austin-reaves,7,BKN,33,3,5,0,1,0,2,9
austin-reaves,8,DAL,30,3,7,3,1,0,2,14
austin-reaves,9,OKC,33,3,7,2,0,1,0,15
austin-reaves,10,UTH,31,4,2,1,0,0,6,19
ayo-dosunmu,0,CHA,39,1,6,1,3,1,3,16
ayo-dosunmu,1,TOR,39,5,2,4,0,1,4,21
ayo-dosunmu,2,POR,33,5,3,1,0,3,1,11
ayo-dosunmu,3,LAL,30,2,1,2,2,1,2,18
